NseSymbol,Symbol,InstrumentToken,ExchangeToken,Name,InstrumentType,Segment,Exchange
20MICRONS,20MICRONS,4331777,16921,20 MICRONS,EQ,NSE,NSE
21STCENMGM,21STCENMGM,1025,4,21ST CENTURY MGMT SERVICE,EQ,NSE,NSE
3IINFOLTD,3IINFOLTD-BE,1597441,6240,3I INFOTECH,EQ,NSE,NSE
3MINDIA,3MINDIA,121345,474,3M INDIA,EQ,NSE,NSE
3PLAND,3PLAND,664321,2595,3P LAND HOLDINGS,EQ,NSE,NSE
5PAISA,5PAISA,113921,445,5PAISA CAPITAL,EQ,NSE,NSE
63MOONS,63MOONS,3038209,11868,63 MOONS TECHNOLOGIES,EQ,NSE,NSE
A2ZINFRA,A2ZINFRA,5351937,20906,A2Z INFRA ENGINEERING,EQ,NSE,NSE
AAKASH,AAKASH,60161,235,AAKASH EXPLORATION SER L,EQ,NSE,NSE
AAREYDRUGS,AAREYDRUGS,1342721,5245,AAREY DRUGS & PHARM,EQ,NSE,NSE
AARON,AARON,263681,1030,AARON INDUSTRIES,EQ,NSE,NSE
AARTIDRUGS,AARTIDRUGS,1147137,4481,AARTI DRUGS.,EQ,NSE,NSE
AARTIIND,AARTIIND,1793,7,AARTI INDUSTRIES,EQ,NSE,NSE
AARTISURF,AARTISURF,4923649,19233,AARTI SURFACTANTS,EQ,NSE,NSE
AARVEEDEN,AARVEEDEN,3525377,13771,AARVEE DEN. & EXP.,EQ,NSE,NSE
AARVI,AARVI,4882689,19073,AARVI ENCON,EQ,NSE,NSE
AAVAS,AAVAS,1378561,5385,AAVAS FINANCIERS,EQ,NSE,NSE
ABAN,ABAN-BE,1986305,7759,ABAN OFFSHORE.,EQ,NSE,NSE
ABB,ABB,3329,13,ABB INDIA,EQ,NSE,NSE
ABBOTINDIA,ABBOTINDIA,4583169,17903,ABBOTT INDIA,EQ,NSE,NSE
ABCAPITAL,ABCAPITAL,5533185,21614,ADITYA BIRLA CAPITAL.,EQ,NSE,NSE
ABFRL,ABFRL,7707649,30108,ADITYA BIRLA FASHION & RT,EQ,NSE,NSE
ABMINTLLTD,ABMINTLLTD,1420545,5549,ABM INTERNATIONAL,EQ,NSE,NSE
ABSLAMC,ABSLAMC,1540609,6018,ADIT BIRL SUN LIF AMC,EQ,NSE,NSE
ACC,ACC,5633,22,ACC,EQ,NSE,NSE
ACCELYA,ACCELYA,1805569,7053,ACCELYA SOLN INDIA,EQ,NSE,NSE
ACCURACY,ACCURACY,375041,1465,ACCURACY SHIPPING,EQ,NSE,NSE
ACE,ACE,3478273,13587,ACTION CONST EQUIP,EQ,NSE,NSE
ACRYSIL,ACRYSIL,481025,1879,ACRYSIL,EQ,NSE,NSE
ADANIENT,ADANIENT,6401,25,ADANI ENTERPRISES,EQ,NSE,NSE
ADANIGREEN,ADANIGREEN,912129,3563,ADANI GREEN ENERGY,EQ,NSE,NSE
ADANIPORTS,ADANIPORTS,3861249,15083,ADANI PORT & SEZ,EQ,NSE,NSE
ADANIPOWER,ADANIPOWER,4451329,17388,ADANI POWER,EQ,NSE,NSE
ADANITRANS,ADANITRANS-BE,2616577,10221,ADANI TRANSMISSION,EQ,NSE,NSE
ADFFOODS,ADFFOODS,5058817,19761,ADF FOODS,EQ,NSE,NSE
ADL,ADL-BE,63489,248,ARCHIDPLY DECOR,EQ,NSE,NSE
ADORWELD,ADORWELD,8705,34,ADOR WELDING,EQ,NSE,NSE
ADROITINFO,ADROITINFO,1267969,4953,ADROIT INFOTECH,EQ,NSE,NSE
