"Symbol","Series","Date","PrevClose","OpenPrice","HighPrice","LowPrice","LastPrice","ClosePrice","AveragePrice","TotalTradedQuantity","Turnover","No.ofTrades","DeliverableQty","%DlyQttoTradedQty"
"20MICRONS","EQ","08-Sep-2022","104.65","105.50","109.00","105.00","105.05","105.45","106.50","185612","19768174.45","2798","94572","50.95"
"20MICRONS","EQ","09-Sep-2022","105.45","106.40","106.70","102.40","103.40","103.55","103.99","203318","21142666.55","4156","101168","49.76"
"20MICRONS","EQ","12-Sep-2022","103.55","103.60","112.45","103.60","109.50","110.15","108.46","607895","65934436.95","7255","296389","48.76"
"20MICRONS","EQ","13-Sep-2022","110.15","112.00","113.60","106.70","108.35","108.15","110.20","433857","47809604.45","5941","175899","40.54"
"20MICRONS","EQ","14-Sep-2022","108.15","107.50","115.65","104.50","110.70","110.55","111.21","722463","80341719.50","11372","275420","38.12"
"20MICRONS","EQ","15-Sep-2022","110.55","111.40","112.55","108.10","110.20","109.45","109.92","231255","25419578.75","4562","99072","42.84"
"20MICRONS","EQ","16-Sep-2022","109.45","108.80","109.45","105.50","107.55","107.25","107.33","326541","35047847.20","5068","155669","47.67"
"20MICRONS","EQ","19-Sep-2022","107.25","107.75","110.30","105.50","106.50","106.85","108.05","204708","22118640.05","4500","75231","36.75"
"20MICRONS","EQ","20-Sep-2022","106.85","107.70","110.40","106.85","108.00","107.65","108.39","180559","19570040.40","3723","77289","42.81"
"20MICRONS","EQ","21-Sep-2022","107.65","108.00","108.15","104.25","104.90","104.75","105.91","180833","19151151.95","3695","91985","50.87"
"20MICRONS","EQ","22-Sep-2022","104.75","104.90","108.50","104.40","107.20","107.30","106.61","195282","20819856.40","3658","109157","55.90"
"20MICRONS","EQ","23-Sep-2022","107.30","107.20","109.85","104.60","105.20","105.70","106.96","202647","21675199.90","4017","104530","51.58"
"20MICRONS","EQ","26-Sep-2022","105.70","105.00","105.20","95.00","96.00","96.50","98.09","405004","39725616.15","8742","164020","40.50"
"20MICRONS","EQ","27-Sep-2022","96.50","97.20","99.40","93.75","97.25","96.90","96.37","220083","21209677.90","4785","89459","43.37"
"20MICRONS","EQ","28-Sep-2022","96.90","95.50","96.90","94.00","94.00","94.40","95.41","152843","14583508.90","4143","62801","41.09"
"20MICRONS","EQ","29-Sep-2022","94.40","96.45","98.70","95.45","96.55","96.35","96.93","136190","13200988.15","3056","50736","37.25"
"20MICRONS","EQ","30-Sep-2022","96.35","95.50","99.30","95.50","98.00","97.75","97.50","164045","15994238.65","3671","70892","43.21"
"20MICRONS","EQ","03-Oct-2022","97.75","97.95","98.85","95.00","95.30","95.55","96.88","101234","9807696.10","3911","37382","36.93"
"20MICRONS","EQ","04-Oct-2022","95.55","97.10","98.30","95.65","97.15","97.75","97.15","109702","10657761.85","2403","51139","46.62"
"20MICRONS","EQ","06-Oct-2022","97.75","98.25","100.65","97.80","98.85","98.60","98.95","108485","10734663.10","2539","46557","42.92"
"20MICRONS","EQ","07-Oct-2022","98.60","99.00","101.95","97.55","100.20","100.40","99.98","142139","14210661.50","3123","63967","45.00"
"20MICRONS","EQ","10-Oct-2022","100.40","99.40","100.30","98.05","99.50","99.15","99.05","73407","7270782.40","2279","38734","52.77"
"20MICRONS","EQ","11-Oct-2022","99.15","98.40","101.55","96.70","97.80","97.65","98.87","108443","10721852.55","2537","49293","45.46"
"20MICRONS","EQ","12-Oct-2022","97.65","98.05","98.25","96.20","97.25","96.85","97.10","88261","8569907.70","2363","44571","50.50"
"20MICRONS","EQ","13-Oct-2022","96.85","96.85","97.85","95.40","96.25","95.95","96.39","56206","5417799.75","1996","33265","59.18"
"20MICRONS","EQ","14-Oct-2022","95.95","97.00","97.75","93.15","94.60","94.50","95.69","90129","8624510.40","2478","48897","54.25"
